,n_pref,n_items,relation,MSS,Time
0,3,4,LEX,5,0.0881655216217041
1,3,4,LEX+,5,0.08465075492858887
2,3,4,LEX,2,0.09049296379089355
3,3,4,LEX+,2,0.08900690078735352
4,3,4,LEX,1,0.03112053871154785
5,3,4,LEX+,1,0.03557610511779785
6,3,4,LEX,3,0.06030774116516113
7,3,4,LEX+,3,0.06436657905578613
8,3,4,LEX,2,0.03904318809509277
9,3,4,LEX+,2,0.04350471496582031
10,3,4,LEX,2,0.03903508186340332
11,3,4,LEX+,2,0.045868635177612305
12,3,4,LEX,2,0.042748212814331055
13,3,4,LEX+,2,0.04016447067260742
14,3,4,LEX,5,0.10661053657531738
15,3,4,LEX+,5,0.10841083526611328
16,3,4,LEX,2,0.042799949645996094
17,3,4,LEX+,2,0.045928239822387695
18,3,4,LEX,2,0.04502511024475098
19,3,4,LEX+,2,0.044403076171875
20,3,4,LEX,5,0.10162687301635742
21,3,4,LEX+,5,0.10143089294433594
22,3,4,LEX,5,0.09337401390075684
23,3,4,LEX+,5,0.08678364753723145
24,3,4,LEX,2,0.03875875473022461
25,3,4,LEX+,2,0.10021734237670898
26,3,4,LEX,3,0.05202651023864746
27,3,4,LEX+,3,0.05600237846374512
28,3,4,LEX,2,0.0812535285949707
29,3,4,LEX+,2,0.07476520538330078
30,3,4,LEX,1,0.03753829002380371
31,3,4,LEX+,1,0.03251528739929199
32,3,4,LEX,2,0.05157017707824707
33,3,4,LEX+,2,0.05082511901855469
34,3,4,LEX,5,0.09077334403991699
35,3,4,LEX+,5,0.0729527473449707
36,3,4,LEX,2,0.08284425735473633
37,3,4,LEX+,2,0.07186627388000488
38,3,4,LEX,2,0.04435420036315918
39,3,4,LEX+,2,0.0458524227142334
40,3,4,LEX,2,0.09115433692932129
41,3,4,LEX+,2,0.0904242992401123
42,3,4,LEX,1,0.03638029098510742
43,3,4,LEX+,1,0.03210163116455078
44,3,4,LEX,2,0.08728575706481934
45,3,4,LEX+,2,0.09014630317687988
46,3,4,LEX,5,0.13359856605529785
47,3,4,LEX+,5,0.1383194923400879
48,3,4,LEX,5,0.11297845840454102
49,3,4,LEX+,5,0.11284661293029785
50,3,4,LEX,2,0.039081573486328125
51,3,4,LEX+,2,0.042163848876953125
52,3,4,LEX,1,0.02996087074279785
53,3,4,LEX+,1,0.027311086654663086
54,3,4,LEX,2,0.11532235145568848
55,3,4,LEX+,2,0.09824132919311523
56,3,4,LEX,2,0.04854750633239746
57,3,4,LEX+,2,0.049875736236572266
58,3,4,LEX,2,0.09393811225891113
59,3,4,LEX+,2,0.07821774482727051
60,3,4,LEX,2,0.08786678314208984
61,3,4,LEX+,2,0.09734606742858887
62,3,4,LEX,5,0.12162637710571289
63,3,4,LEX+,5,0.11790013313293457
64,3,4,LEX,5,0.15856075286865234
65,3,4,LEX+,5,0.13174915313720703
66,3,4,LEX,1,0.032941341400146484
67,3,4,LEX+,1,0.03377485275268555
68,3,4,LEX,4,0.0753335952758789
69,3,4,LEX+,4,0.07005691528320312
70,3,4,LEX,5,0.11596846580505371
71,3,4,LEX+,5,0.12082624435424805
72,3,4,LEX,1,0.028102397918701172
73,3,4,LEX+,1,0.026907920837402344
74,3,4,LEX,5,0.08680152893066406
75,3,4,LEX+,5,0.09076714515686035
76,3,4,LEX,5,0.08228230476379395
77,3,4,LEX+,5,0.07830023765563965
78,3,4,LEX,5,0.2042849063873291
79,3,4,LEX+,5,0.1227869987487793
80,3,4,LEX,2,0.03899884223937988
81,3,4,LEX+,2,0.0413358211517334
82,3,4,LEX,3,0.06386494636535645
83,3,4,LEX+,3,0.06537508964538574
84,3,4,LEX,1,0.03625607490539551
85,3,4,LEX+,1,0.029384613037109375
86,3,4,LEX,1,0.03392195701599121
87,3,4,LEX+,1,0.036887168884277344
88,3,4,LEX,2,0.05069303512573242
89,3,4,LEX+,2,0.044420480728149414
90,3,4,LEX,5,0.10966634750366211
91,3,4,LEX+,5,0.10302090644836426
92,3,4,LEX,5,0.1264505386352539
93,3,4,LEX+,5,0.12172675132751465
94,3,4,LEX,1,0.037171363830566406
95,3,4,LEX+,1,0.0330045223236084
96,3,4,LEX,5,0.1388568878173828
97,3,4,LEX+,5,0.13547444343566895
98,3,4,LEX,2,0.03993487358093262
99,3,4,LEX+,2,0.04320263862609863
100,3,4,LEX,5,0.1500856876373291
101,3,4,LEX+,5,0.13678359985351562
102,3,4,LEX,3,0.06388664245605469
103,3,4,LEX+,3,0.05801701545715332
104,3,4,LEX,5,0.07515287399291992
105,3,4,LEX+,5,0.08229970932006836
106,3,4,LEX,1,0.03669118881225586
107,3,4,LEX+,1,0.028557777404785156
108,3,4,LEX,1,0.033106088638305664
109,3,4,LEX+,1,0.027931928634643555
110,3,4,LEX,3,0.0718686580657959
111,3,4,LEX+,3,0.06666135787963867
112,3,4,LEX,5,0.10725951194763184
113,3,4,LEX+,5,0.10396265983581543
114,3,4,LEX,2,0.03877568244934082
115,3,4,LEX+,2,0.04396986961364746
116,3,4,LEX,1,0.0284273624420166
117,3,4,LEX+,1,0.028469562530517578
118,3,4,LEX,1,0.03062152862548828
119,3,4,LEX+,1,0.026325225830078125
120,6,4,LEX,3,0.11328411102294922
121,6,4,LEX+,3,0.12168383598327637
122,6,4,LEX,2,0.046196937561035156
123,6,4,LEX+,2,0.06237196922302246
124,6,4,LEX,2,0.11269378662109375
125,6,4,LEX+,2,0.11463332176208496
126,6,4,LEX,2,0.09639573097229004
127,6,4,LEX+,2,0.09830522537231445
128,6,4,LEX,2,0.04973483085632324
129,6,4,LEX+,2,0.04847145080566406
130,6,4,LEX,2,0.10687923431396484
131,6,4,LEX+,2,0.17237424850463867
132,6,4,LEX,1,0.0427548885345459
133,6,4,LEX+,1,0.04531717300415039
134,6,4,LEX,1,0.03381490707397461
135,6,4,LEX+,1,0.03298068046569824
136,6,4,LEX,1,0.030509233474731445
137,6,4,LEX+,1,0.03622603416442871
138,6,4,LEX,2,0.1165468692779541
139,6,4,LEX+,2,0.12946081161499023
140,6,4,LEX,2,0.05403780937194824
141,6,4,LEX+,2,0.05419039726257324
142,6,4,LEX,3,0.0874626636505127
143,6,4,LEX+,3,0.07721900939941406
144,6,4,LEX,3,0.1143484115600586
145,6,4,LEX+,3,0.12819790840148926
146,6,4,LEX,3,0.08182406425476074
147,6,4,LEX+,3,0.07706093788146973
148,6,4,LEX,2,0.14500713348388672
149,6,4,LEX+,2,0.13954877853393555
150,6,4,LEX,1,0.1883251667022705
151,6,4,LEX+,1,0.10915780067443848
152,6,4,LEX,2,0.04645705223083496
153,6,4,LEX+,2,0.051625967025756836
154,6,4,LEX,1,0.0582120418548584
155,6,4,LEX+,1,0.05944633483886719
156,6,4,LEX,3,0.14236044883728027
157,6,4,LEX+,3,0.13102006912231445
158,6,4,LEX,2,0.18482708930969238
159,6,4,LEX+,2,0.17190241813659668
160,6,4,LEX,2,0.13243675231933594
161,6,4,LEX+,2,0.12003064155578613
162,6,4,LEX,2,0.04989266395568848
163,6,4,LEX+,2,0.04804730415344238
164,6,4,LEX,1,0.03724193572998047
