,n_pref,n_items,relation,MSS,Time
0,6,5,LEX,2,0.059636831283569336
1,6,5,LEX+,2,0.05521035194396973
2,6,5,LEX,2,0.057204246520996094
3,6,5,LEX+,2,0.04753279685974121
4,6,5,LEX,5,0.15829801559448242
5,6,5,LEX+,5,0.15984582901000977
6,6,5,LEX,3,0.12603473663330078
7,6,5,LEX+,3,0.12981605529785156
8,6,5,LEX,1,0.045255184173583984
9,6,5,LEX+,1,0.04493832588195801
10,6,5,LEX,6,0.1540842056274414
11,6,5,LEX+,6,0.15425753593444824
12,6,5,LEX,2,0.10918569564819336
13,6,5,LEX+,2,0.11057615280151367
14,6,5,LEX,4,0.07650899887084961
15,6,5,LEX+,4,0.07740235328674316
16,6,5,LEX,2,0.051200151443481445
17,6,5,LEX+,2,0.04938769340515137
18,6,5,LEX,5,0.15265798568725586
19,6,5,LEX+,5,0.25543761253356934
20,6,5,LEX,1,0.12181591987609863
21,6,5,LEX+,1,0.13003134727478027
22,6,5,LEX,4,0.19365835189819336
23,6,5,LEX+,4,0.23640918731689453
24,6,5,LEX,1,0.1871044635772705
25,6,5,LEX+,1,0.17904329299926758
26,6,5,LEX,5,0.19726943969726562
27,6,5,LEX+,5,0.17470812797546387
28,6,5,LEX,1,0.647648811340332
29,6,5,LEX+,1,0.6619288921356201
30,6,5,LEX,2,0.04903078079223633
31,6,5,LEX+,2,0.045987606048583984
32,6,5,LEX,3,0.13933753967285156
33,6,5,LEX+,3,0.13517022132873535
34,6,5,LEX,2,0.052756309509277344
35,6,5,LEX+,2,0.04395651817321777
36,6,5,LEX,2,0.05160045623779297
37,6,5,LEX+,2,0.0448451042175293
38,6,5,LEX,8,0.23672723770141602
39,6,5,LEX+,8,0.2267611026763916
40,6,5,LEX,2,0.6776440143585205
41,6,5,LEX+,2,0.5170245170593262
42,6,5,LEX,1,0.03340935707092285
43,6,5,LEX+,1,0.0364534854888916
44,6,5,LEX,5,0.23761606216430664
45,6,5,LEX+,5,0.21417665481567383
46,6,5,LEX,5,0.19666028022766113
47,6,5,LEX+,5,0.18692970275878906
48,6,5,LEX,5,0.24592924118041992
49,6,5,LEX+,5,0.21706509590148926
50,6,5,LEX,3,0.07158660888671875
51,6,5,LEX+,3,0.09065365791320801
52,6,5,LEX,5,0.13404631614685059
53,6,5,LEX+,5,0.11651420593261719
54,6,5,LEX,1,0.35770654678344727
55,6,5,LEX+,1,0.39871692657470703
56,6,5,LEX,2,0.04601240158081055
57,6,5,LEX+,2,0.05133795738220215
58,6,5,LEX,6,0.380643367767334
59,6,5,LEX+,6,0.4270658493041992
60,6,5,LEX,8,0.21352219581604004
61,6,5,LEX+,8,0.18115949630737305
62,6,5,LEX,1,0.037763357162475586
63,6,5,LEX+,1,0.04369807243347168
64,6,5,LEX,6,0.22636008262634277
65,6,5,LEX+,6,0.2579960823059082
66,6,5,LEX,1,0.08655595779418945
67,6,5,LEX+,1,0.07997012138366699
68,6,5,LEX,3,0.11063027381896973
69,6,5,LEX+,3,0.10963273048400879
70,6,5,LEX,2,0.060399770736694336
71,6,5,LEX+,2,0.058135986328125
72,6,5,LEX,3,0.4678947925567627
73,6,5,LEX+,3,0.4758572578430176
74,6,5,LEX,3,0.28156113624572754
75,6,5,LEX+,3,0.37220311164855957
76,6,5,LEX,5,0.46997594833374023
77,6,5,LEX+,5,0.39697909355163574
78,6,5,LEX,3,0.4604663848876953
79,6,5,LEX+,3,0.47919273376464844
80,6,5,LEX,2,0.03929638862609863
81,6,5,LEX+,2,0.03840756416320801
82,6,5,LEX,1,0.038414716720581055
83,6,5,LEX+,1,0.035578012466430664
84,6,5,LEX,5,0.16806793212890625
85,6,5,LEX+,5,0.18252182006835938
86,6,5,LEX,5,0.33326125144958496
87,6,5,LEX+,5,0.3656342029571533
88,6,5,LEX,1,0.0958852767944336
89,6,5,LEX+,1,0.05446600914001465
90,6,5,LEX,2,0.2611870765686035
91,6,5,LEX+,2,0.2898585796356201
92,6,5,LEX,4,0.07657480239868164
93,6,5,LEX+,4,0.07644009590148926
94,6,5,LEX,2,0.039803266525268555
95,6,5,LEX+,2,0.039090633392333984
96,6,5,LEX,5,0.09818434715270996
97,6,5,LEX+,5,0.09644246101379395
98,6,5,LEX,1,0.07027459144592285
99,6,5,LEX+,1,0.05847620964050293
100,6,5,LEX,5,0.3751518726348877
101,6,5,LEX+,5,0.363619327545166
102,6,5,LEX,3,0.39366698265075684
103,6,5,LEX+,3,0.3869764804840088
104,6,5,LEX,2,0.0597074031829834
105,6,5,LEX+,2,0.05991935729980469
106,6,5,LEX,2,0.06424474716186523
107,6,5,LEX+,2,0.06885457038879395
108,6,5,LEX,1,0.17301273345947266
109,6,5,LEX+,1,0.17949175834655762
110,6,5,LEX,3,0.052336692810058594
111,6,5,LEX+,3,0.04989194869995117
112,6,5,LEX,5,0.15378522872924805
113,6,5,LEX+,5,0.1576077938079834
114,6,5,LEX,5,0.4114527702331543
115,6,5,LEX+,5,0.3438737392425537
116,6,5,LEX,1,0.040326595306396484
117,6,5,LEX+,1,0.03809833526611328
118,6,5,LEX,2,0.04435420036315918
119,6,5,LEX+,2,0.03940868377685547
120,6,5,LEX,4,0.1802845001220703
121,6,5,LEX+,4,0.17718863487243652
122,6,5,LEX,2,0.04971170425415039
123,6,5,LEX+,2,0.04482674598693848
124,6,5,LEX,2,0.2704949378967285
125,6,5,LEX+,2,0.2724487781524658
126,6,5,LEX,1,0.05989551544189453
127,6,5,LEX+,1,0.08147430419921875
128,6,5,LEX,2,0.04590415954589844
129,6,5,LEX+,2,0.04629397392272949
130,6,5,LEX,2,0.04671931266784668
131,6,5,LEX+,2,0.04824042320251465
132,6,5,LEX,5,0.22885823249816895
133,6,5,LEX+,5,0.16862964630126953
134,6,5,LEX,2,0.047859907150268555
135,6,5,LEX+,2,0.04860877990722656
136,6,5,LEX,4,0.19486165046691895
137,6,5,LEX+,4,0.19033527374267578
138,6,5,LEX,3,0.14026856422424316
139,6,5,LEX+,3,0.1401355266571045
140,6,5,LEX,1,0.04248809814453125
141,6,5,LEX+,1,0.03890538215637207
142,6,5,LEX,4,0.1450815200805664
143,6,5,LEX+,4,0.13458609580993652
144,6,5,LEX,5,0.15225005149841309
145,6,5,LEX+,5,0.16924428939819336
146,6,5,LEX,2,0.06746482849121094
147,6,5,LEX+,2,0.051347970962524414
148,6,5,LEX,1,0.20453405380249023
149,6,5,LEX+,1,0.2044675350189209
150,6,5,LEX,1,0.27149224281311035
151,6,5,LEX+,1,0.26239776611328125
152,6,5,LEX,6,0.2512946128845215
153,6,5,LEX+,6,0.32230257987976074
154,6,5,LEX,1,0.24291729927062988
155,6,5,LEX+,1,0.15023183822631836
156,6,5,LEX,2,0.04679226875305176
157,6,5,LEX+,2,0.10396718978881836
158,6,5,LEX,2,0.08300447463989258
159,6,5,LEX+,2,0.10204219818115234
160,6,5,LEX,1,0.038436174392700195
161,6,5,LEX+,1,0.039916276931762695
162,6,5,LEX,1,0.037783145904541016
163,6,5,LEX+,1,0.03869748115539551
164,6,5,LEX,3,0.3012723922729492
165,6,5,LEX+,3,0.2198657989501953
166,6,5,LEX,2,0.04631471633911133
167,6,5,LEX+,2,0.046350955963134766
168,6,5,LEX,1,0.38138341903686523
169,6,5,LEX+,1,0.5458860397338867
170,6,5,LEX,5,0.20924949645996094
171,6,5,LEX+,5,0.18485689163208008
172,6,5,LEX,5,0.242262601852417
