,n_pref,n_items,method,MSS
0,10,5,LEX,1
1,10,5,LEX+,1
2,10,5,LEX,1
3,10,5,LEX+,1
4,10,5,LEX,1
5,10,5,LEX+,1
6,10,5,LEX,2
7,10,5,LEX+,2
8,10,5,LEX,1
9,10,5,LEX+,1
10,10,5,LEX,2
11,10,5,LEX+,2
12,10,5,LEX,2
13,10,5,LEX+,2
14,10,5,LEX,1
15,10,5,LEX+,1
16,10,5,LEX,3
17,10,5,LEX+,3
18,10,5,LEX,3
19,10,5,LEX+,3
20,10,5,LEX,2
21,10,5,LEX+,2
22,10,5,LEX,1
23,10,5,LEX+,1
24,10,5,LEX,1
25,10,5,LEX+,1
26,10,5,LEX,1
27,10,5,LEX+,1
28,10,5,LEX,1
29,10,5,LEX+,1
30,10,5,LEX,2
31,10,5,LEX+,2
32,10,5,LEX,9
33,10,5,LEX+,3
34,10,5,LEX,3
35,10,5,LEX+,3
36,10,5,LEX,1
37,10,5,LEX+,1
38,10,5,LEX,1
39,10,5,LEX+,1
40,10,5,LEX,2
41,10,5,LEX+,2
42,10,5,LEX,3
43,10,5,LEX+,3
44,10,5,LEX,2
45,10,5,LEX+,2
46,10,5,LEX,1
47,10,5,LEX+,1
48,10,5,LEX,3
49,10,5,LEX+,2
50,10,5,LEX,2
51,10,5,LEX+,1
52,10,5,LEX,1
53,10,5,LEX+,1
54,10,5,LEX,1
55,10,5,LEX+,1
56,10,5,LEX,4
57,10,5,LEX+,4
58,10,5,LEX,4
59,10,5,LEX+,1
60,10,5,LEX,4
61,10,5,LEX+,2
62,10,5,LEX,7
63,10,5,LEX+,2
64,10,5,LEX,1
65,10,5,LEX+,1
66,10,5,LEX,2
67,10,5,LEX+,2
68,10,5,LEX,1
69,10,5,LEX+,1
70,10,5,LEX,15
71,10,5,LEX+,6
72,10,5,LEX,2
73,10,5,LEX+,2
74,10,5,LEX,1
75,10,5,LEX+,1
76,10,5,LEX,1
77,10,5,LEX+,1
78,10,5,LEX,1
79,10,5,LEX+,1
80,10,5,LEX,1
81,10,5,LEX+,1
82,10,5,LEX,1
83,10,5,LEX+,1
84,10,5,LEX,24
85,10,5,LEX+,4
86,10,5,LEX,1
87,10,5,LEX+,1
88,10,5,LEX,2
89,10,5,LEX+,2
90,10,5,LEX,2
91,10,5,LEX+,2
92,10,5,LEX,7
93,10,5,LEX+,2
94,10,5,LEX,1
95,10,5,LEX+,1
96,10,5,LEX,2
97,10,5,LEX+,2
98,10,5,LEX,4
99,10,5,LEX+,4
100,10,5,LEX,1
101,10,5,LEX+,1
102,10,5,LEX,2
103,10,5,LEX+,2
104,10,5,LEX,2
105,10,5,LEX+,2
106,10,5,LEX,2
107,10,5,LEX+,2
108,10,5,LEX,1
109,10,5,LEX+,1
110,10,5,LEX,1
111,10,5,LEX+,1
112,10,5,LEX,1
113,10,5,LEX+,1
114,10,5,LEX,1
115,10,5,LEX+,1
116,10,5,LEX,2
117,10,5,LEX+,2
118,10,5,LEX,1
119,10,5,LEX+,1
120,10,5,LEX,2
121,10,5,LEX+,2
122,10,5,LEX,1
123,10,5,LEX+,1
124,10,5,LEX,1
125,10,5,LEX+,1
126,10,5,LEX,2
