,n_pref,n_items,relation,MSS,Time
0,3,4,LEX,2,0.04916262626647949
1,3,4,INCL,6,0.07009100914001465
2,3,4,LEX+,2,0.0429384708404541
3,3,4,LEX,2,0.04047250747680664
4,3,4,INCL,3,0.04572892189025879
5,3,4,LEX+,2,0.03849029541015625
6,3,4,LEX,2,0.03825831413269043
7,3,4,INCL,6,0.0729825496673584
8,3,4,LEX+,2,0.03624296188354492
9,3,4,LEX,3,0.05528092384338379
10,3,4,INCL,10,0.1211385726928711
11,3,4,LEX+,3,0.059531211853027344
12,3,4,LEX,5,0.08977341651916504
13,3,4,INCL,40,0.4056682586669922
14,3,4,LEX+,5,0.09046816825866699
15,3,4,LEX,5,0.07224893569946289
16,3,4,INCL,22,0.23398280143737793
17,3,4,LEX+,5,0.06958580017089844
18,3,4,LEX,5,0.08095073699951172
19,3,4,INCL,40,0.49789977073669434
20,3,4,LEX+,5,0.0961463451385498
21,3,4,LEX,2,0.04683399200439453
22,3,4,INCL,3,0.053333282470703125
23,3,4,LEX+,2,0.043792009353637695
24,3,4,LEX,2,0.07392406463623047
25,3,4,INCL,156,1.7642853260040283
26,3,4,LEX+,2,0.06577253341674805
27,3,4,LEX,1,0.02772998809814453
28,3,4,INCL,2,0.04030013084411621
29,3,4,LEX+,1,0.030452489852905273
30,3,4,LEX,3,0.05882978439331055
31,3,4,INCL,10,0.1356353759765625
32,3,4,LEX+,3,0.05500364303588867
33,3,4,LEX,3,0.054511070251464844
34,3,4,INCL,20,0.25354552268981934
35,3,4,LEX+,3,0.06060171127319336
36,3,4,LEX,1,0.031745195388793945
37,3,4,INCL,1,0.0314023494720459
38,3,4,LEX+,1,0.03287506103515625
39,3,4,LEX,2,0.08047747611999512
40,3,4,INCL,156,1.79437255859375
41,3,4,LEX+,2,0.07351064682006836
42,3,4,LEX,2,0.03528475761413574
43,3,4,INCL,6,0.0723729133605957
44,3,4,LEX+,2,0.03571605682373047
45,3,4,LEX,1,0.03251290321350098
46,3,4,INCL,2,0.03631138801574707
47,3,4,LEX+,1,0.03004741668701172
48,3,4,LEX,5,0.1137237548828125
49,3,4,INCL,340,3.487410306930542
50,3,4,LEX+,5,0.1100916862487793
51,3,4,LEX,2,0.044867515563964844
52,3,4,INCL,3,0.04518318176269531
53,3,4,LEX+,2,0.037851572036743164
54,3,4,LEX,2,0.03929567337036133
55,3,4,INCL,6,0.07719802856445312
56,3,4,LEX+,2,0.03890061378479004
57,3,4,LEX,3,0.057070255279541016
58,3,4,INCL,10,0.13367795944213867
59,3,4,LEX+,3,0.057394981384277344
60,3,4,LEX,5,0.07263326644897461
61,3,4,INCL,22,0.23378539085388184
62,3,4,LEX+,5,0.0781710147857666
63,3,4,LEX,2,0.04317140579223633
64,3,4,INCL,3,0.04895281791687012
65,3,4,LEX+,2,0.04291653633117676
66,3,4,LEX,2,0.07785749435424805
67,3,4,INCL,156,1.8813159465789795
68,3,4,LEX+,2,0.07072210311889648
69,3,4,LEX,2,0.08078408241271973
70,3,4,INCL,156,1.7410285472869873
71,3,4,LEX+,2,0.0633401870727539
72,3,4,LEX,2,0.03874468803405762
73,3,4,INCL,6,0.07281112670898438
74,3,4,LEX+,2,0.03593945503234863
75,3,4,LEX,1,0.0293428897857666
76,3,4,INCL,1,0.029604196548461914
77,3,4,LEX+,1,0.029094457626342773
78,3,4,LEX,3,0.049327850341796875
79,3,4,INCL,7,0.13282251358032227
80,3,4,LEX+,3,0.04913139343261719
81,3,4,LEX,2,0.07752609252929688
82,3,4,INCL,156,1.750399112701416
83,3,4,LEX+,2,0.07010507583618164
84,3,4,LEX,2,0.08165884017944336
85,3,4,INCL,156,1.779703140258789
86,3,4,LEX+,2,0.07127237319946289
87,3,4,LEX,3,0.05507159233093262
88,3,4,INCL,10,0.13774800300598145
89,3,4,LEX+,3,0.056066036224365234
90,3,4,LEX,2,0.0634756088256836
91,3,4,INCL,156,1.730809211730957
92,3,4,LEX+,2,0.06884002685546875
93,3,4,LEX,3,0.051427364349365234
94,3,4,INCL,7,0.09595465660095215
95,3,4,LEX+,3,0.051076650619506836
96,3,4,LEX,1,0.037825822830200195
97,3,4,INCL,2,0.03923654556274414
98,3,4,LEX+,1,0.030591487884521484
99,3,4,LEX,2,0.04242229461669922
100,3,4,INCL,6,0.07202386856079102
101,3,4,LEX+,2,0.037596702575683594
102,3,4,LEX,5,0.07729053497314453
103,3,4,INCL,22,0.23541498184204102
104,3,4,LEX+,5,0.07100987434387207
105,3,4,LEX,2,0.047684669494628906
106,3,4,INCL,6,0.14136075973510742
107,3,4,LEX+,2,0.04262852668762207
108,3,4,LEX,5,0.07989788055419922
109,3,4,INCL,40,0.4288442134857178
110,3,4,LEX+,5,0.07625985145568848
111,3,4,LEX,2,0.03864574432373047
112,3,4,INCL,6,0.07693910598754883
113,3,4,LEX+,2,0.03647255897521973
114,3,4,LEX,2,0.041623830795288086
115,3,4,INCL,6,0.06820058822631836
116,3,4,LEX+,2,0.040026187896728516
117,3,4,LEX,5,0.1128542423248291
118,3,4,INCL,340,3.6179676055908203
119,3,4,LEX+,5,0.12171149253845215
120,3,4,LEX,5,0.0753934383392334
121,3,4,INCL,40,0.4096255302429199
122,3,4,LEX+,5,0.06957101821899414
123,3,4,LEX,2,0.039051055908203125
124,3,4,INCL,6,0.07156729698181152
125,3,4,LEX+,2,0.037253379821777344
126,3,4,LEX,1,0.02659153938293457
127,3,4,INCL,1,0.02951645851135254
128,3,4,LEX+,1,0.0323641300201416
129,3,4,LEX,3,0.04639697074890137
130,3,4,INCL,7,0.08002829551696777
131,3,4,LEX+,3,0.04561471939086914
132,3,4,LEX,2,0.03949332237243652
133,3,4,INCL,6,0.07513856887817383
134,3,4,LEX+,2,0.03899383544921875
135,3,4,LEX,5,0.11316299438476562
136,3,4,INCL,952,9.776192665100098
137,3,4,LEX+,5,0.11867904663085938
138,3,4,LEX,4,0.06381702423095703
139,3,4,INCL,9,0.11769556999206543
140,3,4,LEX+,4,0.06783127784729004
141,3,4,LEX,1,0.0283658504486084
142,3,4,INCL,2,0.040267229080200195
143,3,4,LEX+,1,0.02807164192199707
144,3,4,LEX,2,0.035456180572509766
145,3,4,INCL,6,0.07196545600891113
146,3,4,LEX+,2,0.0386505126953125
147,3,4,LEX,2,0.03907418251037598
148,3,4,INCL,3,0.044255971908569336
149,3,4,LEX+,2,0.040329694747924805
150,3,4,LEX,1,0.027490615844726562
151,3,4,INCL,1,0.025875091552734375
152,3,4,LEX+,1,0.029835939407348633
153,3,4,LEX,1,0.02942061424255371
154,3,4,INCL,2,0.03595137596130371
155,3,4,LEX+,1,0.03094315528869629
156,3,4,LEX,2,0.06551051139831543
157,3,4,INCL,156,1.8616764545440674
158,3,4,LEX+,2,0.06776213645935059
159,3,4,LEX,5,0.12448930740356445
160,3,4,INCL,952,9.75660753250122
161,3,4,LEX+,5,0.13405895233154297
162,3,4,LEX,2,0.07600188255310059
163,3,4,INCL,156,1.7873551845550537
164,3,4,LEX+,2,0.06725668907165527
165,3,4,LEX,2,0.03819561004638672
166,3,4,INCL,6,0.07403922080993652
167,3,4,LEX+,2,0.035906076431274414
168,3,4,LEX,3,0.054196834564208984
169,3,4,INCL,10,0.12844467163085938
170,3,4,LEX+,3,0.05488109588623047
171,3,4,LEX,1,0.027818679809570312
172,3,4,INCL,1,0.030698537826538086
173,3,4,LEX+,1,0.02616262435913086
174,3,4,LEX,4,0.06549620628356934
175,3,4,INCL,9,0.11691951751708984
176,3,4,LEX+,4,0.0632016658782959
177,3,4,LEX,2,0.03725600242614746
178,3,4,INCL,6,0.07322549819946289
179,3,4,LEX+,2,0.037105560302734375
180,3,4,LEX,2,0.037905216217041016
181,3,4,INCL,6,0.07481765747070312
182,3,4,LEX+,2,0.035160064697265625
183,3,4,LEX,2,0.035071611404418945
184,3,4,INCL,3,0.1066277027130127
185,3,4,LEX+,2,0.03687620162963867
186,3,4,LEX,5,0.07506275177001953
187,3,4,INCL,40,0.42060017585754395
188,3,4,LEX+,5,0.07148003578186035
189,3,4,LEX,2,0.037307024002075195
190,3,4,INCL,3,0.04695010185241699
191,3,4,LEX+,2,0.036673784255981445
192,3,4,LEX,2,0.07679533958435059
193,3,4,INCL,156,1.7744288444519043
194,3,4,LEX+,2,0.06679439544677734
