,budget,theta,n_theta_min,n_preferences,additivity,size,sizes_sum,C,W,T
0,2,heuristic,2,2,1,4,4,0,1,2
1,2,random,2,2,1,1,1,0,1,2
2,2,union,2,2,1,2,2,0,1,2
3,2,all_thetas,2,2,1,1,1,8,4,16
4,2,heuristic,2,2,1,4,4,0,1,2
5,2,random,2,2,1,1,1,0,1,2
6,2,union,2,2,1,2,2,0,1,2
7,2,all_thetas,2,2,1,1,1,5,20,30
8,2,heuristic,2,2,1,4,4,0,1,2
9,2,random,2,2,1,1,1,0,1,2
10,2,union,2,2,1,2,2,0,1,2
11,2,all_thetas,2,2,1,1,1,7,12,27
12,2,heuristic,2,2,1,4,4,0,1,2
13,2,random,2,2,1,1,1,0,1,2
14,2,union,2,2,1,2,2,0,1,2
15,2,all_thetas,2,2,1,1,1,6,6,24
16,2,heuristic,2,2,1,4,4,0,1,2
17,2,random,2,2,1,1,1,0,1,2
18,2,union,2,2,1,2,2,0,1,2
19,2,all_thetas,2,2,1,1,1,3,14,24
20,3,heuristic,1,5,1,4,4,0,4,5
21,3,random,1,5,1,2,2,0,4,5
22,3,union,1,5,1,2,2,0,4,5
23,3,all_thetas,1,5,1,2,2,6,90,131
24,3,heuristic,1,5,1,4,4,0,4,5
25,3,random,1,5,1,2,2,0,4,5
26,3,union,1,5,1,2,2,0,4,5
27,3,all_thetas,1,5,1,2,2,23,80,149
28,3,heuristic,1,5,1,4,4,0,4,5
29,3,random,1,5,1,2,2,0,4,5
30,3,union,1,5,1,2,2,0,4,5
31,3,all_thetas,1,5,1,2,2,16,104,143
32,3,heuristic,1,5,1,4,4,0,4,5
33,3,random,1,5,1,2,2,0,4,5
34,3,union,1,5,1,2,2,0,4,5
35,3,all_thetas,1,5,1,2,2,37,82,148
36,3,heuristic,1,5,1,4,4,0,4,5
37,3,random,1,5,1,2,2,0,4,5
38,3,union,1,5,1,2,2,0,4,5
39,3,all_thetas,1,5,1,2,2,53,65,144
40,4,heuristic,1,8,3,8,16,0,6,8
41,4,random,1,8,2,2,3,0,6,8
42,4,union,1,8,2,2,3,0,6,8
43,4,all_thetas,1,8,2,2,3,53,31,101
44,4,heuristic,1,8,2,6,10,0,6,8
45,4,random,1,8,2,2,3,0,6,8
46,4,union,1,8,2,2,3,0,6,8
47,4,all_thetas,1,8,2,2,3,58,24,108
48,4,heuristic,1,8,2,6,10,0,6,8
49,4,random,1,8,2,2,3,0,6,8
50,4,union,1,8,2,2,3,0,6,8
51,4,all_thetas,1,8,2,2,3,60,23,108
52,4,heuristic,1,8,3,8,16,0,6,8
53,4,random,1,8,2,2,3,0,6,8
54,4,union,1,8,2,2,3,0,6,8
55,4,all_thetas,1,8,2,2,3,78,22,127
56,4,heuristic,1,8,2,6,10,0,6,8
57,4,random,1,8,2,2,3,0,6,8
58,4,union,1,8,2,2,3,0,6,8
59,4,all_thetas,1,8,2,2,3,47,49,124
60,5,heuristic,1,13,2,13,21,0,10,13
61,5,random,1,13,1,4,4,0,11,14
62,5,union,1,13,1,4,4,0,11,14
63,5,all_thetas,1,13,1,4,4,32,83,144
64,5,heuristic,1,13,2,13,21,0,10,13
65,5,random,1,13,1,4,4,0,11,14
66,5,union,1,13,1,4,4,0,11,14
67,5,all_thetas,1,13,1,4,4,36,81,152
68,5,heuristic,1,13,2,13,21,0,10,13
69,5,random,1,13,1,4,4,0,11,14
70,5,union,1,13,1,4,4,0,11,14
71,5,all_thetas,1,13,1,4,4,31,100,157
72,5,heuristic,1,13,4,30,78,0,10,13
73,5,random,1,13,1,4,4,0,11,14
74,5,union,1,13,1,4,4,0,11,14
75,5,all_thetas,1,13,1,4,4,31,86,159
76,5,heuristic,1,13,2,13,21,0,10,13
77,5,random,1,13,1,4,4,0,11,14
78,5,union,1,13,1,4,4,0,11,14
79,5,all_thetas,1,13,1,4,4,27,92,153
80,6,heuristic,2,17,3,26,59,0,13,17
81,6,random,2,17,2,3,4,0,14,18
82,6,union,2,17,2,4,6,0,14,18
83,6,all_thetas,2,17,2,3,4,17,71,117
84,6,heuristic,2,17,4,31,79,0,13,17
85,6,random,2,17,2,3,4,0,14,18
86,6,union,2,17,2,4,6,0,14,18
87,6,all_thetas,2,17,2,3,4,21,83,130
88,6,heuristic,2,17,3,26,59,0,13,17
89,6,random,2,17,2,3,4,0,14,18
90,6,union,2,17,2,4,6,0,14,18
91,6,all_thetas,2,17,2,3,4,32,58,115
92,6,heuristic,2,17,4,31,79,0,13,17
93,6,random,2,17,2,3,4,0,14,18
94,6,union,2,17,2,4,6,0,14,18
95,6,all_thetas,2,17,2,3,4,32,55,112
96,6,heuristic,2,17,2,15,26,0,13,17
97,6,random,2,17,2,3,4,0,14,18
98,6,union,2,17,2,4,6,0,14,18
99,6,all_thetas,2,17,2,3,4,27,63,110
100,7,heuristic,2,21,2,11,17,0,16,21
101,7,random,2,21,2,3,4,0,17,22
102,7,union,2,21,2,6,8,0,16,21
103,7,all_thetas,2,21,2,3,4,29,69,122
104,7,heuristic,2,21,2,11,17,0,16,21
105,7,random,2,21,2,3,4,1,17,25
106,7,union,2,21,2,6,8,0,16,21
107,7,all_thetas,2,21,2,3,4,13,72,113
108,7,heuristic,2,21,2,11,17,0,16,21
109,7,random,2,21,2,3,4,0,17,22
110,7,union,2,21,2,6,8,0,16,21
111,7,all_thetas,2,21,2,3,4,19,70,112
112,7,heuristic,1,21,2,7,11,0,16,21
113,7,random,1,21,2,4,5,0,18,24
114,7,union,1,21,2,4,5,0,18,24
115,7,all_thetas,1,21,2,4,5,20,104,160
116,7,heuristic,2,21,3,13,23,0,16,21
117,7,random,2,21,2,3,4,1,17,25
118,7,union,2,21,2,6,8,0,16,21
119,7,all_thetas,2,21,2,3,4,10,60,92
120,8,heuristic,1,29,2,10,15,0,21,29
121,8,random,1,29,2,4,6,0,22,30
122,8,union,1,29,2,4,6,0,22,30
123,8,all_thetas,1,29,2,4,6,44,85,166
124,8,heuristic,1,29,2,10,15,0,21,29
125,8,random,1,29,2,4,6,0,22,30
126,8,union,1,29,2,4,6,0,22,30
127,8,all_thetas,1,29,2,4,6,38,102,171
128,8,heuristic,1,29,2,10,15,0,21,29
129,8,random,1,29,2,4,6,0,22,30
130,8,union,1,29,2,4,6,0,22,30
131,8,all_thetas,1,29,2,4,6,23,97,169
132,8,heuristic,1,29,2,10,15,0,21,29
133,8,random,1,29,2,4,6,0,22,30
134,8,union,1,29,2,4,6,0,22,30
135,8,all_thetas,1,29,2,4,6,34,86,161
136,8,heuristic,1,29,2,10,15,0,21,29
137,8,random,1,29,2,4,6,0,22,30
138,8,union,1,29,2,4,6,0,22,30
139,8,all_thetas,1,29,2,4,6,22,95,162
140,9,heuristic,2,37,2,9,15,1,28,37
141,9,random,2,37,2,5,7,1,28,37
142,9,union,2,37,2,6,9,1,28,37
143,9,all_thetas,2,37,2,5,7,28,92,146
144,9,heuristic,1,37,2,10,15,1,28,37
145,9,random,1,37,2,5,6,1,32,41
146,9,union,1,37,2,5,6,1,32,41
147,9,all_thetas,1,37,2,5,6,9,128,167
148,9,heuristic,1,37,2,10,15,1,28,37
149,9,random,1,37,2,5,6,1,32,41
150,9,union,1,37,2,5,6,1,32,41
151,9,all_thetas,1,37,2,5,6,12,120,167
152,9,heuristic,1,37,2,10,15,1,28,37
153,9,random,1,37,2,5,6,1,32,41
154,9,union,1,37,2,5,6,1,32,41
155,9,all_thetas,1,37,2,5,6,35,98,171
156,9,heuristic,1,37,2,10,15,1,28,37
157,9,random,1,37,2,5,6,1,32,41
158,9,union,1,37,2,5,6,1,32,41
159,9,all_thetas,1,37,2,5,6,15,115,167
160,10,heuristic,1,45,2,10,15,1,34,47
161,10,random,1,45,2,6,7,1,35,48
162,10,union,1,45,2,6,7,1,35,48
163,10,all_thetas,1,45,2,6,7,7,118,163
164,10,heuristic,1,45,2,10,15,1,34,47
165,10,random,1,45,2,6,7,1,35,48
166,10,union,1,45,2,6,7,1,35,48
167,10,all_thetas,1,45,2,6,7,34,105,172
168,10,heuristic,1,45,2,10,15,1,34,47
169,10,random,1,45,2,6,7,1,35,48
170,10,union,1,45,2,6,7,1,35,48
171,10,all_thetas,1,45,2,6,7,33,98,169
172,10,heuristic,1,45,2,10,15,1,34,47
173,10,random,1,45,2,6,7,1,35,48
174,10,union,1,45,2,6,7,1,35,48
175,10,all_thetas,1,45,2,6,7,24,109,170
176,10,heuristic,1,45,2,10,15,1,34,47
177,10,random,1,45,2,6,7,1,35,48
178,10,union,1,45,2,6,7,1,35,48
179,10,all_thetas,1,45,2,6,7,31,103,165
180,11,heuristic,1,54,2,10,15,6,34,54
181,11,random,1,54,2,8,12,6,36,56
182,11,union,1,54,2,8,12,6,36,56
183,11,all_thetas,1,54,2,8,12,50,61,146
184,11,heuristic,3,54,3,30,68,6,34,54
185,11,random,3,54,2,5,7,7,35,58
186,11,union,3,54,2,7,11,6,34,54
187,11,all_thetas,3,54,2,5,7,18,48,86
188,11,heuristic,5,54,2,18,30,6,34,54
189,11,random,5,54,2,5,7,8,39,63
190,11,union,5,54,2,11,17,6,34,54
191,11,all_thetas,5,54,2,5,7,14,29,52
192,11,heuristic,5,54,2,18,30,6,34,54
193,11,random,5,54,2,5,7,8,39,63
194,11,union,5,54,2,11,17,6,34,54
195,11,all_thetas,5,54,2,5,7,24,41,79
196,11,heuristic,5,54,2,18,30,6,34,54
197,11,random,5,54,2,5,7,7,35,58
198,11,union,5,54,2,11,17,6,34,54
199,11,all_thetas,5,54,2,5,7,15,34,59
200,12,heuristic,3,63,3,34,78,6,42,63
201,12,random,3,63,2,5,7,11,43,71
