,budget,theta,n_theta_min,n_preferences,additivity,size,sizes_sum,C,W,T
0,1,heuristic,1,1,2,3,5,8,0,8
1,1,random,1,1,1,1,1,17,2,24
2,1,union,1,1,1,1,1,17,2,24
3,1,all_thetas,1,1,1,1,1,17,2,24
4,1,heuristic,1,1,3,4,8,5,0,6
5,1,random,1,1,1,1,1,10,1,16
6,1,union,1,1,1,1,1,10,1,16
7,1,all_thetas,1,1,1,1,1,10,1,16
8,1,heuristic,1,1,3,4,8,7,0,10
9,1,random,1,1,1,1,1,14,4,25
10,1,union,1,1,1,1,1,14,4,25
11,1,all_thetas,1,1,1,1,1,14,4,25
12,1,heuristic,1,1,3,4,8,0,0,0
13,1,random,1,1,1,1,1,12,5,21
14,1,union,1,1,1,1,1,12,5,21
15,1,all_thetas,1,1,1,1,1,12,5,21
16,1,heuristic,1,1,3,4,8,5,0,6
17,1,random,1,1,1,1,1,11,4,21
18,1,union,1,1,1,1,1,11,4,21
19,1,all_thetas,1,1,1,1,1,11,4,21
20,2,heuristic,3,3,2,7,10,2,0,3
21,2,random,3,3,1,2,2,14,5,31
22,2,union,3,3,1,4,4,3,0,5
23,2,all_thetas,3,3,1,2,2,8,1,14
24,2,heuristic,3,3,3,8,13,1,0,1
25,2,random,3,3,1,2,2,16,0,16
26,2,union,3,3,1,4,4,3,0,3
27,2,all_thetas,3,3,1,2,2,6,0,6
28,2,heuristic,3,3,3,8,13,1,0,1
29,2,random,3,3,1,2,2,11,15,32
30,2,union,3,3,1,4,4,4,0,4
31,2,all_thetas,3,3,1,2,2,6,2,10
32,2,heuristic,3,3,2,7,10,1,0,1
33,2,random,3,3,1,2,2,8,15,28
34,2,union,3,3,1,4,4,2,2,4
35,2,all_thetas,3,3,1,2,2,5,3,9
36,2,heuristic,3,3,2,7,10,0,0,0
37,2,random,3,3,1,2,2,19,3,27
38,2,union,3,3,1,4,4,2,0,3
39,2,all_thetas,3,3,1,2,2,2,0,3
40,3,heuristic,1,5,3,8,13,2,0,3
41,3,random,1,5,1,2,2,25,0,31
42,3,union,1,5,1,2,2,25,0,31
43,3,all_thetas,1,5,1,2,2,25,0,31
44,3,heuristic,1,5,2,7,10,3,0,3
45,3,random,1,5,1,2,2,12,1,16
46,3,union,1,5,1,2,2,12,1,16
47,3,all_thetas,1,5,1,2,2,12,1,16
48,3,heuristic,1,5,2,7,10,0,0,0
49,3,random,1,5,1,2,2,18,7,33
50,3,union,1,5,1,2,2,18,7,33
51,3,all_thetas,1,5,1,2,2,18,7,33
52,3,heuristic,1,5,2,7,10,2,0,2
53,3,random,1,5,1,2,2,24,3,33
54,3,union,1,5,1,2,2,24,3,33
55,3,all_thetas,1,5,1,2,2,24,3,33
56,3,heuristic,1,5,2,7,10,1,0,1
57,3,random,1,5,1,2,2,18,6,29
58,3,union,1,5,1,2,2,18,6,29
59,3,all_thetas,1,5,1,2,2,18,6,29
60,4,heuristic,2,7,3,8,13,4,0,4
61,4,random,2,7,1,3,3,18,2,24
62,4,union,2,7,1,4,4,6,1,9
63,4,all_thetas,2,7,1,3,3,9,2,13
64,4,heuristic,2,7,3,8,13,4,0,4
65,4,random,2,7,1,3,3,23,1,28
66,4,union,2,7,1,4,4,7,1,8
67,4,all_thetas,2,7,1,3,3,11,1,14
68,4,heuristic,2,7,3,8,13,2,0,2
69,4,random,2,7,1,3,3,25,2,31
70,4,union,2,7,1,4,4,8,2,10
71,4,all_thetas,2,7,1,3,3,14,2,20
72,4,heuristic,2,7,3,8,13,2,0,3
73,4,random,2,7,1,3,3,25,1,30
74,4,union,2,7,1,4,4,6,1,9
75,4,all_thetas,2,7,1,3,3,11,1,15
76,4,heuristic,2,7,3,8,13,5,0,6
77,4,random,2,7,1,3,3,18,4,27
78,4,union,2,7,1,4,4,12,1,16
79,4,all_thetas,2,7,1,3,3,17,1,23
80,5,heuristic,1,12,2,7,10,4,0,4
81,5,random,1,12,1,4,4,15,0,17
82,5,union,1,12,1,4,4,15,0,17
83,5,all_thetas,1,12,1,4,4,15,0,17
84,5,heuristic,1,12,2,7,10,6,1,8
85,5,random,1,12,1,4,4,18,6,26
86,5,union,1,12,1,4,4,18,6,26
87,5,all_thetas,1,12,1,4,4,18,6,26
88,5,heuristic,1,12,3,8,13,12,0,16
89,5,random,1,12,1,4,4,22,1,30
90,5,union,1,12,1,4,4,22,1,30
91,5,all_thetas,1,12,1,4,4,22,1,30
92,5,heuristic,1,12,3,8,13,9,0,11
93,5,random,1,12,1,4,4,19,4,31
94,5,union,1,12,1,4,4,19,4,31
95,5,all_thetas,1,12,1,4,4,19,4,31
96,5,heuristic,1,12,2,7,10,18,0,20
97,5,random,1,12,1,4,4,29,1,34
98,5,union,1,12,1,4,4,29,1,34
99,5,all_thetas,1,12,1,4,4,29,1,34
100,6,heuristic,1,17,3,8,13,9,0,10
101,6,random,1,17,1,4,4,21,3,29
102,6,union,1,17,1,4,4,21,3,29
103,6,all_thetas,1,17,1,4,4,21,3,29
104,6,heuristic,1,17,3,8,13,16,0,19
105,6,random,1,17,1,4,4,24,1,33
106,6,union,1,17,1,4,4,24,1,33
107,6,all_thetas,1,17,1,4,4,24,1,33
108,6,heuristic,1,17,3,8,13,6,4,11
109,6,random,1,17,1,4,4,16,10,31
110,6,union,1,17,1,4,4,16,10,31
111,6,all_thetas,1,17,1,4,4,16,10,31
112,6,heuristic,1,17,3,8,13,13,0,13
113,6,random,1,17,1,4,4,28,2,32
114,6,union,1,17,1,4,4,28,2,32
115,6,all_thetas,1,17,1,4,4,28,2,32
116,6,heuristic,1,17,3,8,13,10,0,12
117,6,random,1,17,1,4,4,19,0,29
118,6,union,1,17,1,4,4,19,0,29
119,6,all_thetas,1,17,1,4,4,19,0,29
120,7,heuristic,1,23,3,8,13,15,0,18
121,7,random,1,23,2,3,4,27,2,36
122,7,union,1,23,2,3,4,27,2,36
123,7,all_thetas,1,23,2,3,4,27,2,36
124,7,heuristic,1,23,3,8,13,20,0,21
125,7,random,1,23,2,3,4,32,0,40
126,7,union,1,23,2,3,4,32,0,40
127,7,all_thetas,1,23,2,3,4,32,0,40
128,7,heuristic,1,23,3,8,13,15,0,18
129,7,random,1,23,2,3,4,21,7,39
130,7,union,1,23,2,3,4,21,7,39
131,7,all_thetas,1,23,2,3,4,21,7,39
132,7,heuristic,1,23,3,8,13,12,0,14
133,7,random,1,23,2,3,4,21,7,40
134,7,union,1,23,2,3,4,21,7,40
135,7,all_thetas,1,23,2,3,4,21,7,40
136,7,heuristic,1,23,2,7,10,15,0,16
137,7,random,1,23,2,3,4,30,1,40
138,7,union,1,23,2,3,4,30,1,40
139,7,all_thetas,1,23,2,3,4,30,1,40
140,8,heuristic,1,28,2,7,10,22,0,25
141,8,random,1,28,2,3,4,28,4,41
142,8,union,1,28,2,3,4,28,4,41
143,8,all_thetas,1,28,2,3,4,28,4,41
144,8,heuristic,1,28,2,7,10,23,0,26
145,8,random,1,28,2,3,4,27,3,37
146,8,union,1,28,2,3,4,27,3,37
147,8,all_thetas,1,28,2,3,4,27,3,37
148,8,heuristic,1,28,3,8,13,17,4,21
