,budget,theta_definition,theta_operator,n_theta_min,n_preferences,additivity,size,sizes_sum,time,C,W,T
0,1,LEX2,UNION,2,1,1,2,2,0.06628632545471191,3,1,4
1,1,LEX2,RND,2,1,1,1,1,0.06628632545471191,11,9,25
2,1,LEX2,ALL,2,1,1,1,1,0.06628632545471191,3,1,4
3,1,LEX3,UNION,2,1,1,2,2,0.07392120361328125,3,1,4
4,1,LEX3,RND,2,1,1,1,1,0.07392120361328125,16,6,25
5,1,LEX3,ALL,2,1,1,1,1,0.07392120361328125,3,1,4
6,1,VAR,UNION,2,1,1,2,2,0.05629873275756836,3,1,4
7,1,VAR,RND,2,1,1,1,1,0.05629873275756836,16,6,25
8,1,VAR,ALL,2,1,1,1,1,0.05629873275756836,3,1,4
9,1,LEX2,UNION,2,1,1,2,2,0.06628632545471191,4,3,9
10,1,LEX2,RND,2,1,1,1,1,0.06628632545471191,7,14,25
11,1,LEX2,ALL,2,1,1,1,1,0.06628632545471191,4,3,9
12,1,LEX3,UNION,2,1,1,2,2,0.07392120361328125,4,3,9
13,1,LEX3,RND,2,1,1,1,1,0.07392120361328125,16,5,25
14,1,LEX3,ALL,2,1,1,1,1,0.07392120361328125,4,3,9
15,1,VAR,UNION,2,1,1,2,2,0.05629873275756836,4,3,9
16,1,VAR,RND,2,1,1,1,1,0.05629873275756836,16,5,25
17,1,VAR,ALL,2,1,1,1,1,0.05629873275756836,4,3,9
18,1,LEX2,UNION,2,1,1,2,2,0.06628632545471191,5,6,12
19,1,LEX2,RND,2,1,1,1,1,0.06628632545471191,9,11,24
20,1,LEX2,ALL,2,1,1,1,1,0.06628632545471191,5,6,12
21,1,LEX3,UNION,2,1,1,2,2,0.07392120361328125,5,6,12
22,1,LEX3,RND,2,1,1,1,1,0.07392120361328125,11,12,25
23,1,LEX3,ALL,2,1,1,1,1,0.07392120361328125,5,6,12
24,1,VAR,UNION,2,1,1,2,2,0.05629873275756836,5,6,12
25,1,VAR,RND,2,1,1,1,1,0.05629873275756836,11,12,25
26,1,VAR,ALL,2,1,1,1,1,0.05629873275756836,5,6,12
27,1,LEX2,UNION,2,1,1,2,2,0.06628632545471191,0,5,6
28,1,LEX2,RND,2,1,1,1,1,0.06628632545471191,4,15,24
29,1,LEX2,ALL,2,1,1,1,1,0.06628632545471191,0,5,6
30,1,LEX3,UNION,2,1,1,2,2,0.07392120361328125,0,5,6
31,1,LEX3,RND,2,1,1,1,1,0.07392120361328125,6,15,25
32,1,LEX3,ALL,2,1,1,1,1,0.07392120361328125,0,5,6
33,1,VAR,UNION,2,1,1,2,2,0.05629873275756836,0,5,6
