,budget,theta_definition,theta_operator,n_theta_min,n_preferences,additivity,size,sizes_sum,time,C,W,T
0,3,LEX2,UNION,2,5,1,3,3,0.16158390045166016,6,3,9
1,3,LEX2,RND,2,5,1,2,2,0.16158390045166016,23,10,35
2,3,LEX2,ALL,2,5,1,2,2,0.16158390045166016,10,5,16
3,3,LEX3,UNION,2,5,1,3,3,0.1834125518798828,6,3,9
4,3,LEX3,RND,2,5,1,2,2,0.1834125518798828,15,14,32
5,3,LEX3,ALL,2,5,1,2,2,0.1834125518798828,10,5,16
6,3,VAR,UNION,2,5,1,3,3,0.14318108558654785,6,3,9
7,3,VAR,RND,2,5,1,2,2,0.14318108558654785,23,10,35
8,3,VAR,ALL,2,5,1,2,2,0.14318108558654785,10,5,16
9,3,LEX2,UNION,2,5,1,3,3,0.16158390045166016,13,1,15
10,3,LEX2,RND,2,5,1,2,2,0.16158390045166016,26,2,31
11,3,LEX2,ALL,2,5,1,2,2,0.16158390045166016,20,2,25
12,3,LEX3,UNION,2,5,1,3,3,0.1834125518798828,13,1,15
13,3,LEX3,RND,2,5,1,2,2,0.1834125518798828,23,6,35
14,3,LEX3,ALL,2,5,1,2,2,0.1834125518798828,20,2,25
15,3,VAR,UNION,2,5,1,3,3,0.14318108558654785,13,1,15
16,3,VAR,RND,2,5,1,2,2,0.14318108558654785,26,2,31
17,3,VAR,ALL,2,5,1,2,2,0.14318108558654785,20,2,25
18,3,LEX2,UNION,2,5,1,3,3,0.16158390045166016,6,0,8
19,3,LEX2,RND,2,5,1,2,2,0.16158390045166016,26,3,36
20,3,LEX2,ALL,2,5,1,2,2,0.16158390045166016,9,0,11
21,3,LEX3,UNION,2,5,1,3,3,0.1834125518798828,6,0,8
22,3,LEX3,RND,2,5,1,2,2,0.1834125518798828,16,12,35
23,3,LEX3,ALL,2,5,1,2,2,0.1834125518798828,9,0,11
24,3,VAR,UNION,2,5,1,3,3,0.14318108558654785,6,0,8
25,3,VAR,RND,2,5,1,2,2,0.14318108558654785,26,3,36
26,3,VAR,ALL,2,5,1,2,2,0.14318108558654785,9,0,11
27,3,LEX2,UNION,2,5,1,3,3,0.16158390045166016,7,0,7
28,3,LEX2,RND,2,5,1,2,2,0.16158390045166016,24,6,37
29,3,LEX2,ALL,2,5,1,2,2,0.16158390045166016,17,0,17
30,3,LEX3,UNION,2,5,1,3,3,0.1834125518798828,7,0,7
31,3,LEX3,RND,2,5,1,2,2,0.1834125518798828,24,8,37
32,3,LEX3,ALL,2,5,1,2,2,0.1834125518798828,17,0,17
