,n_pref,n_items,relation,MSS,Time
0,3,4,LEX,2,0.05127263069152832
1,3,4,INCL,6,0.07838773727416992
2,3,4,LEX+,2,0.048316001892089844
3,3,4,LEX,1,0.03332042694091797
4,3,4,INCL,1,0.02919769287109375
5,3,4,LEX+,1,0.03571128845214844
6,3,4,LEX,1,0.0342562198638916
7,3,4,INCL,1,0.027860403060913086
8,3,4,LEX+,1,0.03526711463928223
9,3,4,LEX,4,0.07061576843261719
10,3,4,INCL,9,0.13058710098266602
11,3,4,LEX+,4,0.07397723197937012
12,3,4,LEX,5,0.080413818359375
13,3,4,INCL,22,0.26300644874572754
14,3,4,LEX+,5,0.08229374885559082
15,3,4,LEX,1,0.0347442626953125
16,3,4,INCL,1,0.03019857406616211
17,3,4,LEX+,1,0.03329133987426758
18,3,4,LEX,2,0.04970741271972656
19,3,4,INCL,3,0.05614876747131348
20,3,4,LEX+,2,0.04959392547607422
21,3,4,LEX,2,0.04197812080383301
22,3,4,INCL,3,0.05374956130981445
23,3,4,LEX+,2,0.04192948341369629
24,3,4,LEX,2,0.06997871398925781
25,3,4,INCL,156,1.89976167678833
26,3,4,LEX+,2,0.07847380638122559
27,3,4,LEX,2,0.16183042526245117
28,3,4,INCL,6,0.08620738983154297
29,3,4,LEX+,2,0.04271864891052246
30,3,4,LEX,5,0.14818215370178223
31,3,4,INCL,952,11.816976547241211
32,3,4,LEX+,5,0.13885235786437988
33,3,4,LEX,2,0.08414983749389648
34,3,4,INCL,156,2.436568021774292
35,3,4,LEX+,2,0.09773135185241699
36,3,4,LEX,2,0.04379010200500488
37,3,4,INCL,6,0.11722707748413086
38,3,4,LEX+,2,0.05986213684082031
39,3,4,LEX,2,0.0920875072479248
40,3,4,INCL,156,2.1579012870788574
41,3,4,LEX+,2,0.07253766059875488
42,3,4,LEX,2,0.09626436233520508
43,3,4,INCL,156,2.1278812885284424
44,3,4,LEX+,2,0.07779526710510254
45,3,4,LEX,5,0.08820676803588867
46,3,4,INCL,40,0.45147156715393066
47,3,4,LEX+,5,0.08980607986450195
48,3,4,LEX,5,0.12501931190490723
49,3,4,INCL,952,11.487025022506714
50,3,4,LEX+,5,0.13669562339782715
51,3,4,LEX,2,0.041739702224731445
52,3,4,INCL,6,0.08821415901184082
53,3,4,LEX+,2,0.04163193702697754
54,3,4,LEX,5,0.08513069152832031
55,3,4,INCL,22,0.3430197238922119
56,3,4,LEX+,5,0.09897708892822266
57,3,4,LEX,1,0.03735923767089844
58,3,4,INCL,2,0.051957130432128906
59,3,4,LEX+,1,0.03374886512756348
60,3,4,LEX,1,0.0341341495513916
61,3,4,INCL,1,0.040815114974975586
62,3,4,LEX+,1,0.03836250305175781
63,3,4,LEX,3,0.0554502010345459
64,3,4,INCL,7,0.09432792663574219
65,3,4,LEX+,3,0.057701826095581055
66,3,4,LEX,2,0.04064440727233887
67,3,4,INCL,3,0.04982328414916992
68,3,4,LEX+,2,0.04363679885864258
69,3,4,LEX,2,0.05147361755371094
70,3,4,INCL,6,0.08078360557556152
71,3,4,LEX+,2,0.04554176330566406
72,3,4,LEX,5,0.08454275131225586
73,3,4,INCL,22,0.27423572540283203
74,3,4,LEX+,5,0.08466815948486328
75,3,4,LEX,5,0.09771132469177246
76,3,4,INCL,40,0.4860363006591797
77,3,4,LEX+,5,0.0957186222076416
78,3,4,LEX,5,0.11726212501525879
79,3,4,INCL,340,4.135070085525513
80,3,4,LEX+,5,0.11411404609680176
81,3,4,LEX,2,0.08520793914794922
82,3,4,INCL,156,2.078096389770508
83,3,4,LEX+,2,0.08122730255126953
84,3,4,LEX,2,0.038641929626464844
85,3,4,INCL,6,0.07960104942321777
86,3,4,LEX+,2,0.04037666320800781
87,3,4,LEX,2,0.04489588737487793
88,3,4,INCL,3,0.052896976470947266
89,3,4,LEX+,2,0.045641422271728516
90,3,4,LEX,2,0.03914642333984375
91,3,4,INCL,6,0.08962059020996094
92,3,4,LEX+,2,0.04352927207946777
93,3,4,LEX,2,0.045703887939453125
94,3,4,INCL,6,0.08068728446960449
95,3,4,LEX+,2,0.03983569145202637
96,3,4,LEX,2,0.04477190971374512
97,3,4,INCL,3,0.05525660514831543
98,3,4,LEX+,2,0.04215884208679199
99,3,4,LEX,1,0.03181266784667969
100,3,4,INCL,2,0.03922152519226074
101,3,4,LEX+,1,0.03477048873901367
102,3,4,LEX,2,0.04370760917663574
103,3,4,INCL,6,0.07927799224853516
104,3,4,LEX+,2,0.0447537899017334
105,3,4,LEX,5,0.10582327842712402
106,3,4,INCL,340,4.095922470092773
107,3,4,LEX+,5,0.11773180961608887
108,3,4,LEX,2,0.03909778594970703
109,3,4,INCL,6,0.08256959915161133
110,3,4,LEX+,2,0.040959835052490234
111,3,4,LEX,3,0.06793546676635742
112,3,4,INCL,20,0.26212596893310547
113,3,4,LEX+,3,0.07696175575256348
114,3,4,LEX,5,0.09025120735168457
115,3,4,INCL,40,0.5074520111083984
116,3,4,LEX+,5,0.09296274185180664
117,3,4,LEX,3,0.07709383964538574
118,3,4,INCL,10,0.17067193984985352
119,3,4,LEX+,3,0.0630190372467041
120,3,4,LEX,3,0.06850218772888184
121,3,4,INCL,10,0.13723015785217285
122,3,4,LEX+,3,0.06093287467956543
123,3,4,LEX,3,0.04862642288208008
124,3,4,INCL,7,0.19592761993408203
125,3,4,LEX+,3,0.05251812934875488
126,3,4,LEX,2,0.04004168510437012
127,3,4,INCL,6,0.07866573333740234
128,3,4,LEX+,2,0.03853893280029297
129,3,4,LEX,5,0.10496401786804199
130,3,4,INCL,340,3.7784063816070557
131,3,4,LEX+,5,0.10512328147888184
132,3,4,LEX,2,0.037616729736328125
133,3,4,INCL,3,0.04996824264526367
134,3,4,LEX+,2,0.03910541534423828
135,3,4,LEX,5,0.13199114799499512
136,3,4,INCL,340,3.8076088428497314
137,3,4,LEX+,5,0.10350584983825684
138,3,4,LEX,5,0.07966184616088867
139,3,4,INCL,22,0.2506082057952881
140,3,4,LEX+,5,0.07799553871154785
141,3,4,LEX,2,0.03726029396057129
142,3,4,INCL,6,0.08041548728942871
143,3,4,LEX+,2,0.03556108474731445
144,3,4,LEX,5,0.07827925682067871
145,3,4,INCL,22,0.24643516540527344
146,3,4,LEX+,5,0.07590961456298828
147,3,4,LEX,3,0.049265146255493164
148,3,4,INCL,7,0.09033012390136719
149,3,4,LEX+,3,0.050264596939086914
150,3,4,LEX,2,0.03676009178161621
151,3,4,INCL,3,0.05135774612426758
