,budget,theta,n_theta_min,n_preferences,additivity,size,sizes_sum,C,W,T
0,1,heuristic,3,1,1,3,3,1,0,1
1,1,random,3,1,1,1,1,1,0,1
2,1,union,3,1,1,3,3,1,0,1
3,1,all_thetas,3,1,1,1,1,0,0,0
4,1,heuristic,3,1,2,10,17,1,0,1
5,1,random,3,1,1,1,1,1,0,1
6,1,union,3,1,1,3,3,1,0,1
7,1,all_thetas,3,1,1,1,1,4,0,4
8,1,heuristic,3,1,3,15,32,1,0,1
9,1,random,3,1,1,1,1,1,0,1
10,1,union,3,1,1,3,3,1,0,1
11,1,all_thetas,3,1,1,1,1,1,0,1
12,1,heuristic,3,1,1,3,3,1,0,1
13,1,random,3,1,1,1,1,1,0,1
14,1,union,3,1,1,3,3,1,0,1
15,1,all_thetas,3,1,1,1,1,0,0,0
16,1,heuristic,3,1,1,3,3,1,0,1
17,1,random,3,1,1,1,1,1,0,1
18,1,union,3,1,1,3,3,1,0,1
19,1,all_thetas,3,1,1,1,1,2,0,2
20,2,heuristic,1,3,1,2,2,3,0,3
21,2,random,1,3,1,2,2,3,0,3
22,2,union,1,3,1,2,2,3,0,3
23,2,all_thetas,1,3,1,2,2,19,8,35
24,2,heuristic,1,3,1,2,2,3,0,3
25,2,random,1,3,1,2,2,3,0,3
26,2,union,1,3,1,2,2,3,0,3
27,2,all_thetas,1,3,1,2,2,13,10,33
28,2,heuristic,1,3,2,5,8,3,0,3
29,2,random,1,3,1,2,2,3,0,3
30,2,union,1,3,1,2,2,3,0,3
31,2,all_thetas,1,3,1,2,2,19,12,36
32,2,heuristic,1,3,2,5,8,3,0,3
33,2,random,1,3,1,2,2,3,0,3
34,2,union,1,3,1,2,2,3,0,3
35,2,all_thetas,1,3,1,2,2,22,5,37
36,2,heuristic,1,3,1,2,2,3,0,3
37,2,random,1,3,1,2,2,3,0,3
38,2,union,1,3,1,2,2,3,0,3
39,2,all_thetas,1,3,1,2,2,27,4,37
