,budget,theta_definition,theta_operator,n_theta_min,n_preferences,additivity,size,sizes_sum,time,C,W,T
0,3,LEX2,UNION,3,6,1,4,4,0.3418738842010498,2,0,4
1,3,LEX2,RND,3,6,1,2,2,0.3418738842010498,22,6,36
2,3,LEX2,ALL,3,6,1,2,2,0.3418738842010498,7,0,9
3,3,LEX3,UNION,3,6,1,4,4,0.3535735607147217,2,0,4
4,3,LEX3,RND,3,6,1,2,2,0.3535735607147217,22,6,36
5,3,LEX3,ALL,3,6,1,2,2,0.3535735607147217,7,0,9
6,3,VAR,UNION,3,6,1,4,4,0.2865152359008789,2,0,4
7,3,VAR,RND,3,6,1,2,2,0.2865152359008789,22,5,36
8,3,VAR,ALL,3,6,1,2,2,0.2865152359008789,7,0,9
9,3,LEX2,UNION,3,6,1,4,4,0.3418738842010498,4,0,4
10,3,LEX2,RND,3,6,1,2,2,0.3418738842010498,23,3,31
11,3,LEX2,ALL,3,6,1,2,2,0.3418738842010498,5,0,5
12,3,LEX3,UNION,3,6,1,4,4,0.3535735607147217,4,0,4
13,3,LEX3,RND,3,6,1,2,2,0.3535735607147217,23,3,31
14,3,LEX3,ALL,3,6,1,2,2,0.3535735607147217,5,0,5
15,3,VAR,UNION,3,6,1,4,4,0.2865152359008789,4,0,4
16,3,VAR,RND,3,6,1,2,2,0.2865152359008789,18,9,31
17,3,VAR,ALL,3,6,1,2,2,0.2865152359008789,5,0,5
18,3,LEX2,UNION,3,6,1,4,4,0.3418738842010498,1,0,2
19,3,LEX2,RND,3,6,1,2,2,0.3418738842010498,21,7,35
20,3,LEX2,ALL,3,6,1,2,2,0.3418738842010498,10,0,11
21,3,LEX3,UNION,3,6,1,4,4,0.3535735607147217,1,0,2
22,3,LEX3,RND,3,6,1,2,2,0.3535735607147217,21,7,35
23,3,LEX3,ALL,3,6,1,2,2,0.3535735607147217,10,0,11
24,3,VAR,UNION,3,6,1,4,4,0.2865152359008789,1,0,2
25,3,VAR,RND,3,6,1,2,2,0.2865152359008789,24,6,37
26,3,VAR,ALL,3,6,1,2,2,0.2865152359008789,10,0,11
27,3,LEX2,UNION,3,6,1,4,4,0.3418738842010498,3,0,4
28,3,LEX2,RND,3,6,1,2,2,0.3418738842010498,31,1,37
29,3,LEX2,ALL,3,6,1,2,2,0.3418738842010498,7,0,8
30,3,LEX3,UNION,3,6,1,4,4,0.3535735607147217,3,0,4
31,3,LEX3,RND,3,6,1,2,2,0.3535735607147217,31,1,37
32,3,LEX3,ALL,3,6,1,2,2,0.3535735607147217,7,0,8
33,3,VAR,UNION,3,6,1,4,4,0.2865152359008789,3,0,4
34,3,VAR,RND,3,6,1,2,2,0.2865152359008789,14,12,33
35,3,VAR,ALL,3,6,1,2,2,0.2865152359008789,7,0,8
36,3,LEX2,UNION,3,6,1,4,4,0.3418738842010498,3,0,3
37,3,LEX2,RND,3,6,1,2,2,0.3418738842010498,20,7,37
38,3,LEX2,ALL,3,6,1,2,2,0.3418738842010498,6,0,7
39,3,LEX3,UNION,3,6,1,4,4,0.3535735607147217,3,0,3
40,3,LEX3,RND,3,6,1,2,2,0.3535735607147217,20,7,37
41,3,LEX3,ALL,3,6,1,2,2,0.3535735607147217,6,0,7
42,3,VAR,UNION,3,6,1,4,4,0.2865152359008789,3,0,3
43,3,VAR,RND,3,6,1,2,2,0.2865152359008789,15,12,37
44,3,VAR,ALL,3,6,1,2,2,0.2865152359008789,6,0,7
45,3,LEX2,UNION,3,6,1,4,4,0.3418738842010498,3,0,3
46,3,LEX2,RND,3,6,1,2,2,0.3418738842010498,26,4,37
47,3,LEX2,ALL,3,6,1,2,2,0.3418738842010498,11,0,11
48,3,LEX3,UNION,3,6,1,4,4,0.3535735607147217,3,0,3
49,3,LEX3,RND,3,6,1,2,2,0.3535735607147217,26,4,37
50,3,LEX3,ALL,3,6,1,2,2,0.3535735607147217,11,0,11
51,3,VAR,UNION,3,6,1,4,4,0.2865152359008789,3,0,3
52,3,VAR,RND,3,6,1,2,2,0.2865152359008789,23,6,37
53,3,VAR,ALL,3,6,1,2,2,0.2865152359008789,11,0,11
54,3,LEX2,UNION,3,6,1,4,4,0.3418738842010498,2,1,3
55,3,LEX2,RND,3,6,1,2,2,0.3418738842010498,26,4,35
56,3,LEX2,ALL,3,6,1,2,2,0.3418738842010498,8,1,10
57,3,LEX3,UNION,3,6,1,4,4,0.3535735607147217,2,1,3
58,3,LEX3,RND,3,6,1,2,2,0.3535735607147217,26,4,35
59,3,LEX3,ALL,3,6,1,2,2,0.3535735607147217,8,1,10
60,3,VAR,UNION,3,6,1,4,4,0.2865152359008789,2,1,3
61,3,VAR,RND,3,6,1,2,2,0.2865152359008789,14,17,36
62,3,VAR,ALL,3,6,1,2,2,0.2865152359008789,8,1,10
63,3,LEX2,UNION,3,6,1,4,4,0.3418738842010498,2,1,4
64,3,LEX2,RND,3,6,1,2,2,0.3418738842010498,15,13,37
65,3,LEX2,ALL,3,6,1,2,2,0.3418738842010498,9,4,14
66,3,LEX3,UNION,3,6,1,4,4,0.3535735607147217,2,1,4
67,3,LEX3,RND,3,6,1,2,2,0.3535735607147217,15,13,37
68,3,LEX3,ALL,3,6,1,2,2,0.3535735607147217,9,4,14
69,3,VAR,UNION,3,6,1,4,4,0.2865152359008789,2,1,4
70,3,VAR,RND,3,6,1,2,2,0.2865152359008789,17,8,35
71,3,VAR,ALL,3,6,1,2,2,0.2865152359008789,9,4,14
72,3,LEX2,UNION,3,6,1,4,4,0.3418738842010498,3,1,4
73,3,LEX2,RND,3,6,1,2,2,0.3418738842010498,19,9,35
74,3,LEX2,ALL,3,6,1,2,2,0.3418738842010498,6,6,13
75,3,LEX3,UNION,3,6,1,4,4,0.3535735607147217,3,1,4
76,3,LEX3,RND,3,6,1,2,2,0.3535735607147217,19,9,35
77,3,LEX3,ALL,3,6,1,2,2,0.3535735607147217,6,6,13
78,3,VAR,UNION,3,6,1,4,4,0.2865152359008789,3,1,4
79,3,VAR,RND,3,6,1,2,2,0.2865152359008789,14,14,36
80,3,VAR,ALL,3,6,1,2,2,0.2865152359008789,6,6,13
81,3,LEX2,UNION,3,6,1,4,4,0.3418738842010498,3,0,5
82,3,LEX2,RND,3,6,1,2,2,0.3418738842010498,27,5,37
83,3,LEX2,ALL,3,6,1,2,2,0.3418738842010498,12,0,14
84,3,LEX3,UNION,3,6,1,4,4,0.3535735607147217,3,0,5
85,3,LEX3,RND,3,6,1,2,2,0.3535735607147217,27,5,37
86,3,LEX3,ALL,3,6,1,2,2,0.3535735607147217,12,0,14
87,3,VAR,UNION,3,6,1,4,4,0.2865152359008789,3,0,5
88,3,VAR,RND,3,6,1,2,2,0.2865152359008789,18,11,37
89,3,VAR,ALL,3,6,1,2,2,0.2865152359008789,12,0,14
90,4,LEX2,UNION,2,9,1,3,3,0.20970749855041504,7,1,11
91,4,LEX2,RND,2,9,1,2,2,0.20970749855041504,14,12,35
92,4,LEX2,ALL,2,9,1,2,2,0.20970749855041504,11,1,16
93,4,LEX3,UNION,2,9,1,3,3,0.22603583335876465,7,1,11
94,4,LEX3,RND,2,9,1,2,2,0.22603583335876465,26,2,36
95,4,LEX3,ALL,2,9,1,2,2,0.22603583335876465,11,1,16
96,4,VAR,UNION,2,9,1,3,3,0.16555571556091309,7,1,11
97,4,VAR,RND,2,9,1,2,2,0.16555571556091309,14,12,35
98,4,VAR,ALL,2,9,1,2,2,0.16555571556091309,11,1,16
99,4,LEX2,UNION,2,9,1,3,3,0.20970749855041504,11,3,15
100,4,LEX2,RND,2,9,1,2,2,0.20970749855041504,22,9,37
101,4,LEX2,ALL,2,9,1,2,2,0.20970749855041504,17,4,22
