,budget,theta_definition,theta_operator,n_theta_min,n_preferences,additivity,size,sizes_sum,time,C,W,T
0,5,LEX3,UNION,1,11,1,2,2,0.27537083625793457,24,4,33
1,5,LEX3,RND,1,11,1,2,2,0.27537083625793457,24,4,33
2,5,LEX3,ALL,1,11,1,2,2,0.27537083625793457,24,4,33
3,5,SVM,SVM,1,11,1,2,2,0.27537083625793457,27,1,33
4,5,CARD,CARD,1,11,1,2,2,0.27537083625793457,24,4,33
5,5,LEX3,UNION,1,11,1,2,2,0.27537083625793457,28,2,35
6,5,LEX3,RND,1,11,1,2,2,0.27537083625793457,28,2,35
7,5,LEX3,ALL,1,11,1,2,2,0.27537083625793457,28,2,35
8,5,SVM,SVM,1,11,1,2,2,0.27537083625793457,29,1,35
9,5,CARD,CARD,1,11,1,2,2,0.27537083625793457,28,2,35
10,5,LEX3,UNION,1,11,1,2,2,0.27537083625793457,28,2,35
11,5,LEX3,RND,1,11,1,2,2,0.27537083625793457,28,2,35
12,5,LEX3,ALL,1,11,1,2,2,0.27537083625793457,28,2,35
13,5,SVM,SVM,1,11,1,2,2,0.27537083625793457,26,4,35
14,5,CARD,CARD,1,11,1,2,2,0.27537083625793457,28,2,35
15,5,LEX3,UNION,1,11,1,2,2,0.27537083625793457,25,8,36
16,5,LEX3,RND,1,11,1,2,2,0.27537083625793457,25,8,36
17,5,LEX3,ALL,1,11,1,2,2,0.27537083625793457,25,8,36
18,5,SVM,SVM,1,11,1,2,2,0.27537083625793457,26,7,36
19,5,CARD,CARD,1,11,1,2,2,0.27537083625793457,25,8,36
20,5,LEX3,UNION,1,11,1,2,2,0.27537083625793457,27,0,32
21,5,LEX3,RND,1,11,1,2,2,0.27537083625793457,27,0,32
22,5,LEX3,ALL,1,11,1,2,2,0.27537083625793457,27,0,32
23,5,SVM,SVM,1,11,1,2,2,0.27537083625793457,23,4,32
24,5,CARD,CARD,1,11,1,2,2,0.27537083625793457,27,0,32
25,5,LEX3,UNION,1,11,1,2,2,0.27537083625793457,25,7,37
26,5,LEX3,RND,1,11,1,2,2,0.27537083625793457,25,7,37
27,5,LEX3,ALL,1,11,1,2,2,0.27537083625793457,25,7,37
28,5,SVM,SVM,1,11,1,2,2,0.27537083625793457,25,7,37
29,5,CARD,CARD,1,11,1,2,2,0.27537083625793457,25,7,37
30,5,LEX3,UNION,1,11,1,2,2,0.27537083625793457,34,0,37
31,5,LEX3,RND,1,11,1,2,2,0.27537083625793457,34,0,37
32,5,LEX3,ALL,1,11,1,2,2,0.27537083625793457,34,0,37
33,5,SVM,SVM,1,11,1,2,2,0.27537083625793457,30,4,37
34,5,CARD,CARD,1,11,1,2,2,0.27537083625793457,34,0,37
35,5,LEX3,UNION,1,11,1,2,2,0.27537083625793457,25,0,29
36,5,LEX3,RND,1,11,1,2,2,0.27537083625793457,25,0,29
37,5,LEX3,ALL,1,11,1,2,2,0.27537083625793457,25,0,29
38,5,SVM,SVM,1,11,1,2,2,0.27537083625793457,25,0,29
39,5,CARD,CARD,1,11,1,2,2,0.27537083625793457,25,0,29
40,5,LEX3,UNION,1,11,1,2,2,0.27537083625793457,23,10,36
41,5,LEX3,RND,1,11,1,2,2,0.27537083625793457,23,10,36
42,5,LEX3,ALL,1,11,1,2,2,0.27537083625793457,23,10,36
43,5,SVM,SVM,1,11,1,2,2,0.27537083625793457,22,11,36
44,5,CARD,CARD,1,11,1,2,2,0.27537083625793457,23,10,36
45,5,LEX3,UNION,1,11,1,2,2,0.27537083625793457,21,7,32
46,5,LEX3,RND,1,11,1,2,2,0.27537083625793457,21,7,32
47,5,LEX3,ALL,1,11,1,2,2,0.27537083625793457,21,7,32
48,5,SVM,SVM,1,11,1,2,2,0.27537083625793457,20,8,32
49,5,CARD,CARD,1,11,1,2,2,0.27537083625793457,21,7,32
50,6,LEX3,UNION,1,17,1,3,3,0.2800002098083496,30,3,41
51,6,LEX3,RND,1,17,1,3,3,0.2800002098083496,30,3,41
