,budget,theta_definition,theta_operator,n_theta_min,n_preferences,additivity,size,sizes_sum,time,C,W,T
0,5,LEX3,UNION,2,13,1,5,5,0.16324639320373535,11,30,63
1,5,LEX3,RND,2,13,1,4,4,0.16324639320373535,15,45,88
2,5,LEX3,ALL,2,13,1,4,4,0.16324639320373535,14,38,79
3,5,SVM,SVM,2,13,1,4,4,0.16324639320373535,29,41,103
4,5,CARD,CARD,2,13,1,4,4,0.16324639320373535,18,47,97
5,5,LEX3,UNION,2,13,1,5,5,0.16324639320373535,12,36,66
6,5,LEX3,RND,2,13,1,4,4,0.16324639320373535,15,48,89
7,5,LEX3,ALL,2,13,1,4,4,0.16324639320373535,15,39,80
8,5,SVM,SVM,2,13,1,4,4,0.16324639320373535,24,48,100
9,5,CARD,CARD,2,13,1,4,4,0.16324639320373535,19,50,96
10,5,LEX3,UNION,2,13,1,5,5,0.16324639320373535,3,34,55
11,5,LEX3,RND,2,13,1,4,4,0.16324639320373535,6,51,79
12,5,LEX3,ALL,2,13,1,4,4,0.16324639320373535,4,45,70
13,5,SVM,SVM,2,13,1,4,4,0.16324639320373535,30,40,97
14,5,CARD,CARD,2,13,1,4,4,0.16324639320373535,6,58,88
15,5,LEX3,UNION,2,13,1,5,5,0.16324639320373535,17,31,68
16,5,LEX3,RND,2,13,1,4,4,0.16324639320373535,20,44,91
17,5,LEX3,ALL,2,13,1,4,4,0.16324639320373535,19,38,82
18,5,SVM,SVM,2,13,1,4,4,0.16324639320373535,24,49,102
19,5,CARD,CARD,2,13,1,4,4,0.16324639320373535,25,45,99
20,5,LEX3,UNION,2,13,1,5,5,0.16324639320373535,20,25,57
21,5,LEX3,RND,2,13,1,4,4,0.16324639320373535,29,37,82
22,5,LEX3,ALL,2,13,1,4,4,0.16324639320373535,27,31,73
23,5,SVM,SVM,2,13,1,4,4,0.16324639320373535,49,31,102
24,5,CARD,CARD,2,13,1,4,4,0.16324639320373535,34,40,95
25,5,LEX3,UNION,2,13,1,5,5,0.16324639320373535,8,36,65
26,5,LEX3,RND,2,13,1,4,4,0.16324639320373535,12,49,89
27,5,LEX3,ALL,2,13,1,4,4,0.16324639320373535,11,42,80
28,5,SVM,SVM,2,13,1,4,4,0.16324639320373535,22,46,100
29,5,CARD,CARD,2,13,1,4,4,0.16324639320373535,13,48,92
30,5,LEX3,UNION,2,13,1,5,5,0.16324639320373535,14,33,62
31,5,LEX3,RND,2,13,1,4,4,0.16324639320373535,20,50,87
32,5,LEX3,ALL,2,13,1,4,4,0.16324639320373535,18,41,75
33,5,SVM,SVM,2,13,1,4,4,0.16324639320373535,33,51,104
34,5,CARD,CARD,2,13,1,4,4,0.16324639320373535,25,53,98
35,5,LEX3,UNION,2,13,1,5,5,0.16324639320373535,6,28,49
36,5,LEX3,RND,2,13,1,4,4,0.16324639320373535,11,49,80
